序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
243,婚礼广场，新人在宾客中央优雅旋转起舞，镜头从广角全景缓缓推近；硬切至摄影师肩上视角，透过取景器捕捉两人交握的手；新郎俯身低语，新娘仰头轻笑，两人换手变换舞步；镜头再切至高处俯拍，宾客围成圆环鼓掌，新人在中心画出弧线轨迹；最后推入新娘眼眸的大特写，瞳孔中倒映着新郎的面孔。,人物,社会互动,,,叙述性描述,"运镜,多镜头",中文,135,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0242.mp4
244,黄昏天台，城市天际线被夕阳染红，穿白衬衫的亚洲男人倚着栏杆抽烟，风吹乱他的头发。他深吸一口缓缓吐出烟雾，烟雾被风吹散。切至面部特写，他眯眼看远方，眼神复杂。切回全景，烟燃尽，他掐灭烟头弹进垃圾桶，转身离开，背影拉长。,人物,"日常行为,情绪表情",,,叙述性描述,多镜头,中文,108,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0243.mp4
245,夜幕降临，一场盛大的音乐节以超现实的场景呈现，镜头跟拍一位正在舞池中央激情跳舞的女孩。她旋转一圈后张开双臂，随后跳起落地踩出水花。旁边一个男孩也加入，两人面对面随节拍摆动。,人物,表演艺术,,,叙述性描述,运镜,中文,86,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0244.mp4
246,锈迹斑斑的金属棚下，末日后的集市热闹起来。一个摊贩在修理收音机，旁边一个女人用罐头交换布料。两个孩子在摊位间追逐奔跑。镜头从摊位间穿过，跟随孩子的跑动方向缓慢推进。,人物,日常行为,多个体/群体画面,,叙述性描述,运镜,中文,82,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0245.mp4
247,两个胖胖的日本摔跤手正在一个圆形比赛台上进行着激烈的摔跤运动，光线暖黄，两个人打得不可开交。,人物,运动体育,打斗场景,,日常白话,,中文,46,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0246.mp4
248,"Through an asteroid field, two small spacecraft chase each other — the front one suddenly banks left to dodge a tumbling asteroid, and the rear one fires thrusters to follow. Engine lights flicker as debris bounces off their hulls. The camera tracks alongside them.",物体,,,刚体位移,叙述性描述,运镜,英文,44,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0247.mp4
249,"Against a night sky, the words ""Artificial Analysis"" are assembled by a drone swarm, where each individual drone appears as a
glowing point of light.",文字为主,,文字生成,,日常白话,,英文,24,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0248.mp4
250,"A wide-angle underwater shot capturing a polar bear diving from an ice shelf into crystal-clear blue water. It glides downward, twists to chase a passing fish, and surfaces with a splash. Shimmering light rays filter down from above.",动物,,,动物运动,叙述性描述,,英文,38,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0249.mp4
251,"In a sleek lab, a young scientist tests a high-tech gadget that hums to life with glowing lights, captured in an anime aesthetic.",人物,日常行为,风格化,,日常白话,,英文,23,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0250.mp4
252,"An aerial drone perspective gliding smoothly over the vast canopy of the Brazilian Amazon. Cut to a ground-level shot inside the forest, looking up through the canopy at the drone passing overhead. Cut back to aerial as the river comes into view.",自然景观,,,,叙述性描述,"运镜,多镜头",英文,42,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0251.mp4
253,"A Samsonite luggage promotional video. A sleek suitcase opens and closes, showcasing its interior. The scene transitions to a cinematic travel montage featuring iconic destinations. The final six seconds display upward-scrolling white text on a black background: ""Samsonite New Rolling Suitcase — Lightweight and Durable, Global Warranty. Limited Time Offer: 20% Off for Double 12.""",物体,,文字生成,,叙述性描述,多镜头,英文,55,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0252.mp4
254,"In a park setting, a cinematic close-up captures a young woman's smiling face as she jogs while wearing wireless earbuds.",人物,运动体育,,,叙述性描述,,英文,20,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0253.mp4
255,"A low-angle tracking shot of a female Chinese tennis player in her early 20s as she tosses the ball high, leaps into a powerful serve, and lands with a forward stride. The camera follows her as she sprints to the net for a volley return.",人物,运动体育,,,叙述性描述,运镜,英文,45,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0254.mp4
256,"Exploring the coral reef, a scuba diver is captured swimming through a narrow passage between coral formations. Cut to the diver's POV looking at a sea turtle gliding past. Cut back to wide shot showing the diver and the reef from above.",人物,运动体育,,,叙述性描述,多镜头,英文,42,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0255.mp4
257,"In a cinematic slow-motion capture, a person pours freshly brewed coffee from a sleek espresso machine into a ceramic cup, the rising steam swirling gracefully as the rich, dark liquid fills the vessel.",人物,日常行为,,,叙述性描述,时间操控,英文,33,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0256.mp4
258,"A young woman lies on a sofa in relaxed evening light. A close-up captures her face illuminated by the screen glow as her thumbs scroll smoothly through TikTok with natural finger movements. She laughs at a funny video. The camera tilts down to clearly show the phone screen. The text ""Galaxy S24 AI智能"" appears as an overlay, conveying a modern lifestyle feel.",人物,日常行为,文字生成,,叙述性描述,运镜,英文,62,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0257.mp4
259,"Hurtling through a colorful nebula, a spaceship is depicted in a 3D animated sequence.",物体,,,刚体位移,日常白话,,英文,14,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0258.mp4
260,"A dynamic wide tracking shot following a dragon as it soars rapidly across a sprawling fantasy landscape, maneuvering through jagged peaks and floating clouds.",动物,,,动物运动,叙述性描述,运镜,英文,24,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0259.mp4
261,"A cinematic shot of two kangaroos boxing in the dusty Australian outback at sunset. One throws a jab with its front paws, the other leans back to dodge, then retaliates with a kick. Red dust rises from their footwork. The camera circles them slowly.",动物,,打斗场景,动物运动,叙述性描述,运镜,英文,44,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0260.mp4
262,"During the blue hour, a drone captures a sweeping aerial view of Santorini.",人造空间,,,,叙述性描述,运镜,英文,13,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0261.mp4
263,"哈利·波特全集产品视频。第一本书封面翻开，翻页转场依次展示全套七册不同封面；镜头硬切至侧面，七本书从空中依次落下堆叠成塔；再切至正面特写，书脊上烫金文字""Harry Potter Complete Set · Genuine Hardcover · Collector's Edition · All 7 Volumes · Includes Illustrated Appendix · Limited Quantities""逐字亮起；最后俯拍全景，书塔旁摆放魔杖与围巾道具，营造沉浸式收藏氛围。","物体,文字为主",,文字生成,,叙述性描述,多镜头,英文,21,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0262.mp4
264,"A low-angle perspective of a 2D animated street performer juggling flaming torches with exaggerated, rhythmic motions. The camera slowly pans upward from the performer's feet to a medium shot, capturing the vibrant trails of fire and the character's expressive face against a stylized cobblestone street.",人物,表演艺术,,,叙述性描述,运镜,英文,45,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0263.mp4
265,"A cinematic shot of a small jackalope with soft brown fur and miniature deer antlers hopping playfully across a mossy forest floor. Pale moonlight filters through the dense tree canopy, creating a dreamlike atmosphere with soft shadows. The jackalope moves with a steady, rhythmic gait, its ears twitching as it navigates between ancient, gnarled tree trunks.",动物,,,动物运动,叙述性描述,,英文,56,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0264.mp4
266,"A cinematic, low-angle tracking shot follows a swarm of delivery drones as they weave rapidly through a dense urban skyline, banking sharply between towering skyscrapers and navigating a complex maze of neon-lit buildings with high-speed precision.",物体,,,刚体位移,叙述性描述,运镜,英文,36,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0265.mp4
267,无人机从山腰树梢处缓缓升起，俯瞰层叠的山脊与远处的湖面。镜头平稳前推飞越山顶，展现连绵山脉与谷底村庄。,自然景观,,,,叙述性描述,运镜,中文,51,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0266.mp4
268,在阳光穿过树叶的公园里，镜头缓缓追踪着飞向空中的足球与准备接球的中国孩子。动作被处理为慢镜头，清晰呈现出足球的每一次旋转以及孩子脸上兴奋的神情，这种跟拍手法进一步强化了那一刻的紧张感。,人物,运动体育,,,叙述性描述,"运镜,时间操控",中文,92,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0267.mp4
269,在一棵高大坚固、枝叶繁茂的大橡树上，一只松鼠和一只花栗鼠正忙着建造树屋。花栗鼠手里拿着蓝图，而松鼠正在专注地钉着钉子。,动物,,,动物运动,日常白话,,中文,59,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0268.mp4
270,在高科技实验室的中央，一名穿着实验服的科学家正专心地焊接火箭零件。,人物,精细操作,,,日常白话,,中文,33,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0269.mp4
271,低角度特写追踪一支戴眼镜的铅笔在素描本上绘制复杂图案；硬切至俯拍，戴帽子和领结的橡皮在纸上跳跃逐格擦除错误；再次硬切至全景，一把张开翅膀的剪刀沿直尺滑行裁下画好的图稿。三个角色各自独立行动，背景艺术工作室中堆满画笔与未完成的画作。,物体,,多个体/群体画面,刚体位移,叙述性描述,"运镜,多镜头",中文,115,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0270.mp4
272,在湿润的水槽表面，一个带有彩虹漩涡的圆形泡泡正在飘浮并旋转，与此同时，一块带着笑容的方形肥皂正灵活地向前滑行。,物体,,,刚体位移,日常白话,,中文,55,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0271.mp4
273,"A Razer DeathAdder gaming mouse promotional video. The mouse glows with RGB lighting as the camera captures it from multiple angles through light-streak wipe transitions — first showing button clicks, then grip angles. A fast-paced montage of streak wipes builds intensity, ending with the text ""Razer Gaming Artifact"" displayed on screen.",物体,,视觉特效,,叙述性描述,多镜头,英文,51,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0272.mp4
274,"A low-angle, side-tracking shot, maintaining the viewpoint at eye level with a little girl, follows her as she runs and darts through a park carpeted with golden leaves. The camera steadily captures her innocent smile and the maple leaves swirling in the breeze, creating a vivid and immersive autumn scene.",人物,日常行为,,,叙述性描述,运镜,英文,50,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0273.mp4
275,镜头以低空视角围绕孤岛缓慢环绕平移，侧向观察海浪轻柔地拍打礁石。阳光穿透层层薄雾洒在海面上，营造出静谧、平和的质感。,自然景观,,,,叙述性描述,运镜,中文,58,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0274.mp4
276,在深夜的幽静森林中，参天大树间萦绕着淡淡的薄雾，无数翠绿色的萤火虫在空中缓慢律动。镜头跟拍一只淡紫色蝴蝶穿梭在金色光点之间。切至蝴蝶翅膀微距特写，半透明质感在萤火虫光芒中闪烁。切回全景，蝴蝶飞远消失在薄雾中。,动物,,材质质感,动物运动,叙述性描述,"运镜,多镜头",中文,104,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0275.mp4
277,采用侧向中景镜头跟拍，一只松鼠和一只刺猬正在粗壮的树枝上协作搭建木屋。,动物,,,动物运动,叙述性描述,运镜,中文,35,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0276.mp4
